Tree	Transformed_Tree	One	Two	Three	Pattern	Corpus
Organizacija <nsubj pokazala >obj slabosti	['Organizacija <nsubj', 'pokazala', '>obj slabosti']	S	V	O	SVO	SSJ
Organizem <nsubj potrebuje >obj snovi	['Organizem <nsubj', 'potrebuje', '>obj snovi']	S	V	O	SVO	SSJ
Orlando <nsubj zapustil >obj tiskarno	['Orlando <nsubj', 'zapustil', '>obj tiskarno']	S	V	O	SVO	SSJ
Orožje <nsubj imelo >obj posledice	['Orožje <nsubj', 'imelo', '>obj posledice']	S	V	O	SVO	SSJ
Osebe <nsubj imajo >obj %	['Osebe <nsubj', 'imajo', '>obj %']	S	V	O	SVO	SSJ
Osumljenega <obj policisti <nsubj odkrili	['Osumljenega <obj', 'policisti <nsubj', 'odkrili']	O	S	V	OSV	SSJ
Otok <obj odkril >nsubj Jean	['Otok <obj', 'odkril', '>nsubj Jean']	O	V	S	OVS	SSJ
Otroci <nsubj imajo >obj lutke	['Otroci <nsubj', 'imajo', '>obj lutke']	S	V	O	SVO	SSJ
Otroci <nsubj potrebujejo >obj operacijo	['Otroci <nsubj', 'potrebujejo', '>obj operacijo']	S	V	O	SVO	SSJ
Otroci <nsubj prenašajo >obj bakterije	['Otroci <nsubj', 'prenašajo', '>obj bakterije']	S	V	O	SVO	SSJ
Otroci <nsubj prodajajo >obj borovnice	['Otroci <nsubj', 'prodajajo', '>obj borovnice']	S	V	O	SVO	SSJ
Otroci <nsubj spuščajo >obj mehurčke	['Otroci <nsubj', 'spuščajo', '>obj mehurčke']	S	V	O	SVO	SSJ
Otrok <nsubj nauči >obj tistega	['Otrok <nsubj', 'nauči', '>obj tistega']	S	V	O	SVO	SSJ
Otrok <nsubj vibracije <obj poveže	['Otrok <nsubj', 'vibracije <obj', 'poveže']	S	O	V	SOV	SSJ
Otroka <nsubj imela >obj sobo	['Otroka <nsubj', 'imela', '>obj sobo']	S	V	O	SVO	SSJ
Otrokom <obj so >nsubj dude	['Otrokom <obj', 'so', '>nsubj dude']	O	V	S	OVS	SSJ
Otrokoma <obj to <nsubj ni	['Otrokoma <obj', 'to <nsubj', 'ni']	O	S	V	OSV	SSJ
Oven <nsubj hvali >obj tehniko	['Oven <nsubj', 'hvali', '>obj tehniko']	S	V	O	SVO	SSJ
Oven <nsubj najde >obj dušo	['Oven <nsubj', 'najde', '>obj dušo']	S	V	O	SVO	SSJ
Oče <nsubj podaril >obj kamero	['Oče <nsubj', 'podaril', '>obj kamero']	S	V	O	SVO	SSJ
Očividci <nsubj zapomnili >obj ženski	['Očividci <nsubj', 'zapomnili', '>obj ženski']	S	V	O	SVO	SSJ
Oškodovanka <nsubj nosila >obj tolarjev	['Oškodovanka <nsubj', 'nosila', '>obj tolarjev']	S	V	O	SVO	SSJ
PARKI <nsubj OHRANILI >obj ČISTOST	['PARKI <nsubj', 'OHRANILI', '>obj ČISTOST']	S	V	O	SVO	SSJ
PARKI <nsubj PREDSTAVLJALI >obj DIMENZIJO	['PARKI <nsubj', 'PREDSTAVLJALI', '>obj DIMENZIJO']	S	V	O	SVO	SSJ
PARTNERJI <nsubj OPREDELILI >obj NALOGE	['PARTNERJI <nsubj', 'OPREDELILI', '>obj NALOGE']	S	V	O	SVO	SSJ
PDFji <nsubj vsebujejo >obj sliko	['PDFji <nsubj', 'vsebujejo', '>obj sliko']	S	V	O	SVO	SSJ
POGREBNIK <nsubj RAZKRIL >obj SPOL	['POGREBNIK <nsubj', 'RAZKRIL', '>obj SPOL']	S	V	O	SVO	SSJ
POPOTNICI <nsubj NAPAD <obj INTERPRETIRATA	['POPOTNICI <nsubj', 'NAPAD <obj', 'INTERPRETIRATA']	S	O	V	SOV	SSJ
POSKUSA <nsubj SPREMENILA >obj ODNOS	['POSKUSA <nsubj', 'SPREMENILA', '>obj ODNOS']	S	V	O	SVO	SSJ
PRITOŽBA <nsubj ZADRŽI >obj IZVRŠITEV	['PRITOŽBA <nsubj', 'ZADRŽI', '>obj IZVRŠITEV']	S	V	O	SVO	SSJ
Packard <nsubj navrgel >obj dodatkov	['Packard <nsubj', 'navrgel', '>obj dodatkov']	S	V	O	SVO	SSJ
Packard <nsubj ponudil >obj računalnik	['Packard <nsubj', 'ponudil', '>obj računalnik']	S	V	O	SVO	SSJ
Pastirica <nsubj me <obj povabila	['Pastirica <nsubj', 'me <obj', 'povabila']	S	O	V	SOV	SSJ
Pavarotti <nsubj prebrodil >obj dolino	['Pavarotti <nsubj', 'prebrodil', '>obj dolino']	S	V	O	SVO	SSJ
Pavel <nsubj našteva >obj kreposti	['Pavel <nsubj', 'našteva', '>obj kreposti']	S	V	O	SVO	SSJ
Payne <nsubj preučevala >obj zvezde	['Payne <nsubj', 'preučevala', '>obj zvezde']	S	V	O	SVO	SSJ
Periklej <nsubj imel >obj vpliv	['Periklej <nsubj', 'imel', '>obj vpliv']	S	V	O	SVO	SSJ
Perić <nsubj ubranil >obj sedemmetrovko	['Perić <nsubj', 'ubranil', '>obj sedemmetrovko']	S	V	O	SVO	SSJ
Petrol <nsubj pripravil >obj poročilo	['Petrol <nsubj', 'pripravil', '>obj poročilo']	S	V	O	SVO	SSJ
Pevci <nsubj predstavili >obj dela	['Pevci <nsubj', 'predstavili', '>obj dela']	S	V	O	SVO	SSJ
Pevec <nsubj Alice <obj obožuje	['Pevec <nsubj', 'Alice <obj', 'obožuje']	S	O	V	SOV	SSJ
Pfizer <nsubj povzročil >obj pretres	['Pfizer <nsubj', 'povzročil', '>obj pretres']	S	V	O	SVO	SSJ
Phil <nsubj kuhal >obj jezo	['Phil <nsubj', 'kuhal', '>obj jezo']	S	V	O	SVO	SSJ
Pinije <nsubj upogibale >obj glave	['Pinije <nsubj', 'upogibale', '>obj glave']	S	V	O	SVO	SSJ
Pioneer <nsubj nosita >obj plošči	['Pioneer <nsubj', 'nosita', '>obj plošči']	S	V	O	SVO	SSJ
Pisatelj <nsubj čutil >obj odtujenosti	['Pisatelj <nsubj', 'čutil', '>obj odtujenosti']	S	V	O	SVO	SSJ
Pisatelji <nsubj obiskali >obj mest	['Pisatelji <nsubj', 'obiskali', '>obj mest']	S	V	O	SVO	SSJ
Pisec <nsubj imel >obj predstavi	['Pisec <nsubj', 'imel', '>obj predstavi']	S	V	O	SVO	SSJ
Platforma <nsubj omogoča >obj ustvarjanje	['Platforma <nsubj', 'omogoča', '>obj ustvarjanje']	S	V	O	SVO	SSJ
Pljučnice <nsubj kažejo >obj simptome	['Pljučnice <nsubj', 'kažejo', '>obj simptome']	S	V	O	SVO	SSJ
Podatki <nsubj omogočajo >obj odločitve	['Podatki <nsubj', 'omogočajo', '>obj odločitve']	S	V	O	SVO	SSJ
Podjetje <nsubj ponudilo >obj video	['Podjetje <nsubj', 'ponudilo', '>obj video']	S	V	O	SVO	SSJ
Podjetje <nsubj vključuje >obj gospodinjstev	['Podjetje <nsubj', 'vključuje', '>obj gospodinjstev']	S	V	O	SVO	SSJ
Podjetje <obj vodi >nsubj STANIŠA	['Podjetje <obj', 'vodi', '>nsubj STANIŠA']	O	V	S	OVS	SSJ
Pogodba <nsubj obvezuje >obj komisijo	['Pogodba <nsubj', 'obvezuje', '>obj komisijo']	S	V	O	SVO	SSJ
Pogodba <nsubj omogoča >obj prenos	['Pogodba <nsubj', 'omogoča', '>obj prenos']	S	V	O	SVO	SSJ
Pohvalil >obj ga >nsubj Einstein	['Pohvalil', '>obj ga', '>nsubj Einstein']	V	O	S	VOS	SSJ
Pokal <obj osvojil >nsubj klub	['Pokal <obj', 'osvojil', '>nsubj klub']	O	V	S	OVS	SSJ
Poklic <obj predstavila >nsubj Katarina	['Poklic <obj', 'predstavila', '>nsubj Katarina']	O	V	S	OVS	SSJ
Pokora <nsubj me <obj odkupila	['Pokora <nsubj', 'me <obj', 'odkupila']	S	O	V	SOV	SSJ
Policist <nsubj jo <obj pogledal	['Policist <nsubj', 'jo <obj', 'pogledal']	S	O	V	SOV	SSJ
Policista <nsubj ga <obj obvladala	['Policista <nsubj', 'ga <obj', 'obvladala']	S	O	V	SOV	SSJ
Policisti <nsubj imajo >obj pravico	['Policisti <nsubj', 'imajo', '>obj pravico']	S	V	O	SVO	SSJ
Policisti <nsubj odredili >obj pridržanje	['Policisti <nsubj', 'odredili', '>obj pridržanje']	S	V	O	SVO	SSJ
Policisti <nsubj pregledali >obj hišo	['Policisti <nsubj', 'pregledali', '>obj hišo']	S	V	O	SVO	SSJ
Politiki <nsubj bojijo >obj mnenja	['Politiki <nsubj', 'bojijo', '>obj mnenja']	S	V	O	SVO	SSJ
Politiki <nsubj izgubljajo >obj razsodnost	['Politiki <nsubj', 'izgubljajo', '>obj razsodnost']	S	V	O	SVO	SSJ
Poljska <nsubj pridobila >obj neodvisnost	['Poljska <nsubj', 'pridobila', '>obj neodvisnost']	S	V	O	SVO	SSJ
Poljska <nsubj zahteva >obj obdobja	['Poljska <nsubj', 'zahteva', '>obj obdobja']	S	V	O	SVO	SSJ
Pomenilo >nsubj to >obj neprepoznavanje	['Pomenilo', '>nsubj to', '>obj neprepoznavanje']	V	S	O	VSO	SSJ
Pomurci <nsubj osvojili >obj kopico	['Pomurci <nsubj', 'osvojili', '>obj kopico']	S	V	O	SVO	SSJ
Ponižnega <obj Bog <nsubj čuva	['Ponižnega <obj', 'Bog <nsubj', 'čuva']	O	S	V	OSV	SSJ
Popoldnevi <nsubj predstavljajo >obj užitek	['Popoldnevi <nsubj', 'predstavljajo', '>obj užitek']	S	V	O	SVO	SSJ
Popuščanje <nsubj oslabilo >obj značaj	['Popuščanje <nsubj', 'oslabilo', '>obj značaj']	S	V	O	SVO	SSJ
Poravnavo <obj podpisali >nsubj predstavniki	['Poravnavo <obj', 'podpisali', '>nsubj predstavniki']	O	V	S	OVS	SSJ
Poraženci <nsubj nimajo >obj časa	['Poraženci <nsubj', 'nimajo', '>obj časa']	S	V	O	SVO	SSJ
Poročilo <nsubj razburilo >obj duhove	['Poročilo <nsubj', 'razburilo', '>obj duhove']	S	V	O	SVO	SSJ
Poročilo <obj inšpektor <nsubj predstavil	['Poročilo <obj', 'inšpektor <nsubj', 'predstavil']	O	S	V	OSV	SSJ
Portal <nsubj vsebuje >obj podatke	['Portal <nsubj', 'vsebuje', '>obj podatke']	S	V	O	SVO	SSJ
Portugalci <nsubj uprizorili >obj juriš	['Portugalci <nsubj', 'uprizorili', '>obj juriš']	S	V	O	SVO	SSJ
Posamezniki <nsubj videli >obj sredstvo	['Posamezniki <nsubj', 'videli', '>obj sredstvo']	S	V	O	SVO	SSJ
Poslanci <nsubj obravnavali >obj spremembe	['Poslanci <nsubj', 'obravnavali', '>obj spremembe']	S	V	O	SVO	SSJ
Poslanci <nsubj obravnavo <obj nadaljevali	['Poslanci <nsubj', 'obravnavo <obj', 'nadaljevali']	S	O	V	SOV	SSJ
Postavka <nsubj vključuje >obj stroške	['Postavka <nsubj', 'vključuje', '>obj stroške']	S	V	O	SVO	SSJ
Postrvi <nsubj imajo >obj usta	['Postrvi <nsubj', 'imajo', '>obj usta']	S	V	O	SVO	SSJ
Potočnik <nsubj izrazil >obj razumevanje	['Potočnik <nsubj', 'izrazil', '>obj razumevanje']	S	V	O	SVO	SSJ
Potrpljenje <nsubj ima >obj meje	['Potrpljenje <nsubj', 'ima', '>obj meje']	S	V	O	SVO	SSJ
Povečanju <obj nasprotujejo >nsubj prejemnice	['Povečanju <obj', 'nasprotujejo', '>nsubj prejemnice']	O	V	S	OVS	SSJ
Poškodba <nsubj ga <obj izločila	['Poškodba <nsubj', 'ga <obj', 'izločila']	S	O	V	SOV	SSJ
Pošta <nsubj dosegla >obj rezultate	['Pošta <nsubj', 'dosegla', '>obj rezultate']	S	V	O	SVO	SSJ
Požar <nsubj uničil >obj streho	['Požar <nsubj', 'uničil', '>obj streho']	S	V	O	SVO	SSJ
Pravico <obj imajo >nsubj najmočnejši	['Pravico <obj', 'imajo', '>nsubj najmočnejši']	O	V	S	OVS	SSJ
Prebivalstvo <nsubj jih <obj sprejelo	['Prebivalstvo <nsubj', 'jih <obj', 'sprejelo']	S	O	V	SOV	SSJ
Prebivalstvo <nsubj sprejelo >obj nadvlado	['Prebivalstvo <nsubj', 'sprejelo', '>obj nadvlado']	S	V	O	SVO	SSJ
Predlog <obj predložila >nsubj Komisija	['Predlog <obj', 'predložila', '>nsubj Komisija']	O	V	S	OVS	SSJ
Predložitvi <obj nasprotoval >nsubj minister	['Predložitvi <obj', 'nasprotoval', '>nsubj minister']	O	V	S	OVS	SSJ
Predsednik <nsubj nadzoruje >obj Svet	['Predsednik <nsubj', 'nadzoruje', '>obj Svet']	S	V	O	SVO	SSJ
Predsednik <nsubj navzoče <obj seznanil	['Predsednik <nsubj', 'navzoče <obj', 'seznanil']	S	O	V	SOV	SSJ
Predsednik <nsubj razpusti >obj zbor	['Predsednik <nsubj', 'razpusti', '>obj zbor']	S	V	O	SVO	SSJ
Predsednik <nsubj ustvaril >obj pokal	['Predsednik <nsubj', 'ustvaril', '>obj pokal']	S	V	O	SVO	SSJ
Predsednika <obj direktor <nsubj seznanili	['Predsednika <obj', 'direktor <nsubj', 'seznanili']	O	S	V	OSV	SSJ
Predsednika <obj izvolijo >nsubj člani	['Predsednika <obj', 'izvolijo', '>nsubj člani']	O	V	S	OVS	SSJ
Predsedstvo <obj podpira >nsubj komisija	['Predsedstvo <obj', 'podpira', '>nsubj komisija']	O	V	S	OVS	SSJ
Predstavilo >obj se >nsubj razstavljavcev	['Predstavilo', '>obj se', '>nsubj razstavljavcev']	V	O	S	VOS	SSJ
Predstavnik <nsubj dobil >obj vina	['Predstavnik <nsubj', 'dobil', '>obj vina']	S	V	O	SVO	SSJ
Predstavniki <nsubj dobili >obj denarja	['Predstavniki <nsubj', 'dobili', '>obj denarja']	S	V	O	SVO	SSJ
Predstavniki <nsubj izrazili >obj ogorčenje	['Predstavniki <nsubj', 'izrazili', '>obj ogorčenje']	S	V	O	SVO	SSJ
Predstavniki <nsubj podpišejo >obj sporazum	['Predstavniki <nsubj', 'podpišejo', '>obj sporazum']	S	V	O	SVO	SSJ
Predstavniki <nsubj predstavili >obj program	['Predstavniki <nsubj', 'predstavili', '>obj program']	S	V	O	SVO	SSJ
Premier <nsubj ima >obj roke	['Premier <nsubj', 'ima', '>obj roke']	S	V	O	SVO	SSJ
Premier <nsubj odprl >obj sejem	['Premier <nsubj', 'odprl', '>obj sejem']	S	V	O	SVO	SSJ
Premiera <nsubj imela >obj pogovor	['Premiera <nsubj', 'imela', '>obj pogovor']	S	V	O	SVO	SSJ
Premik <nsubj sproži >obj spremembe	['Premik <nsubj', 'sproži', '>obj spremembe']	S	V	O	SVO	SSJ
Preparat <nsubj vsebuje >obj mešanico	['Preparat <nsubj', 'vsebuje', '>obj mešanico']	S	V	O	SVO	SSJ
Prevozniki <nsubj nižajo >obj stroške	['Prevozniki <nsubj', 'nižajo', '>obj stroške']	S	V	O	SVO	SSJ
Prevzeli >obj me >nsubj prehodi	['Prevzeli', '>obj me', '>nsubj prehodi']	V	O	S	VOS	SSJ
Priestley <nsubj obiskal >obj Lavoisiera	['Priestley <nsubj', 'obiskal', '>obj Lavoisiera']	S	V	O	SVO	SSJ
Prilagajanje <nsubj povzroči >obj pridobitev	['Prilagajanje <nsubj', 'povzroči', '>obj pridobitev']	S	V	O	SVO	SSJ
Primeri <nsubj prikazujejo >obj izvirnost	['Primeri <nsubj', 'prikazujejo', '>obj izvirnost']	S	V	O	SVO	SSJ
Princ <nsubj udeleži >obj dogodkov	['Princ <nsubj', 'udeleži', '>obj dogodkov']	S	V	O	SVO	SSJ
Priporočilo <nsubj ponuja >obj definicijo	['Priporočilo <nsubj', 'ponuja', '>obj definicijo']	S	V	O	SVO	SSJ
Prireditev <obj povezoval >nsubj igralec	['Prireditev <obj', 'povezoval', '>nsubj igralec']	O	V	S	OVS	SSJ
Prireditev <obj snema >nsubj postaja	['Prireditev <obj', 'snema', '>nsubj postaja']	O	V	S	OVS	SSJ
Prispevek <nsubj obravnava >obj sisteme	['Prispevek <nsubj', 'obravnava', '>obj sisteme']	S	V	O	SVO	SSJ
Prodajalci <nsubj imajo >obj prehode	['Prodajalci <nsubj', 'imajo', '>obj prehode']	S	V	O	SVO	SSJ
Prodajali >obj jih >nsubj črnci	['Prodajali', '>obj jih', '>nsubj črnci']	V	O	S	VOS	SSJ
Profesor <nsubj ga <obj pogleda	['Profesor <nsubj', 'ga <obj', 'pogleda']	S	O	V	SOV	SSJ
Proga <nsubj tabornike <obj vodila	['Proga <nsubj', 'tabornike <obj', 'vodila']	S	O	V	SOV	SSJ
Progesteron <nsubj prinaša >obj stvari	['Progesteron <nsubj', 'prinaša', '>obj stvari']	S	V	O	SVO	SSJ
Program <nsubj obnovi >obj imenik	['Program <nsubj', 'obnovi', '>obj imenik']	S	V	O	SVO	SSJ
Prokšelj <nsubj to <obj povedal	['Prokšelj <nsubj', 'to <obj', 'povedal']	S	O	V	SOV	SSJ
Prosper <nsubj jo <obj vzel	['Prosper <nsubj', 'jo <obj', 'vzel']	S	O	V	SOV	SSJ
Protokolov <obj Amerika <nsubj podpisali	['Protokolov <obj', 'Amerika <nsubj', 'podpisali']	O	S	V	OSV	SSJ
Prusija <nsubj odmakne >obj nikomur	['Prusija <nsubj', 'odmakne', '>obj nikomur']	S	V	O	SVO	SSJ
Prvenstvo <nsubj ima >obj čar	['Prvenstvo <nsubj', 'ima', '>obj čar']	S	V	O	SVO	SSJ
Prvenstvo <obj osvoji >nsubj dirkač	['Prvenstvo <obj', 'osvoji', '>nsubj dirkač']	O	V	S	OVS	SSJ
Prvi <nsubj izdeloval >obj vozila	['Prvi <nsubj', 'izdeloval', '>obj vozila']	S	V	O	SVO	SSJ
Psihiater <nsubj naredil >obj študijo	['Psihiater <nsubj', 'naredil', '>obj študijo']	S	V	O	SVO	SSJ
Psihoterapevtka <nsubj ponovila >obj stavek	['Psihoterapevtka <nsubj', 'ponovila', '>obj stavek']	S	V	O	SVO	SSJ
Ptujčan <nsubj streznitev <obj dočakal	['Ptujčan <nsubj', 'streznitev <obj', 'dočakal']	S	O	V	SOV	SSJ
Puruša <nsubj daruje >obj sebe	['Puruša <nsubj', 'daruje', '>obj sebe']	S	V	O	SVO	SSJ
RAZPOREJANJE <obj UREJA >nsubj 24	['RAZPOREJANJE <obj', 'UREJA', '>nsubj 24']	O	V	S	OVS	SSJ
RETScreen <nsubj prejel >obj nagrado	['RETScreen <nsubj', 'prejel', '>obj nagrado']	S	V	O	SVO	SSJ
Radcliffe <nsubj koncept <obj izpeljal	['Radcliffe <nsubj', 'koncept <obj', 'izpeljal']	S	O	V	SOV	SSJ
Ramsay <nsubj iskal >obj argon	['Ramsay <nsubj', 'iskal', '>obj argon']	S	V	O	SVO	SSJ
Ravnatelj <nsubj zavrača >obj očitke	['Ravnatelj <nsubj', 'zavrača', '>obj očitke']	S	V	O	SVO	SSJ
Razlike <obj Z. <nsubj povzel	['Razlike <obj', 'Z. <nsubj', 'povzel']	O	S	V	OSV	SSJ
Razliko <obj ohranja >nsubj jezik	['Razliko <obj', 'ohranja', '>nsubj jezik']	O	V	S	OVS	SSJ
Različica <nsubj ima >obj prestav	['Različica <nsubj', 'ima', '>obj prestav']	S	V	O	SVO	SSJ
Razstava <nsubj predstavlja >obj dela	['Razstava <nsubj', 'predstavlja', '>obj dela']	S	V	O	SVO	SSJ
Razstavo <obj odprl >nsubj Ivo	['Razstavo <obj', 'odprl', '>nsubj Ivo']	O	V	S	OVS	SSJ
Računalnik <nsubj ima >obj procesor	['Računalnik <nsubj', 'ima', '>obj procesor']	S	V	O	SVO	SSJ
Real <nsubj dobil >obj monopol	['Real <nsubj', 'dobil', '>obj monopol']	S	V	O	SVO	SSJ
Red <obj ustanovil >nsubj kralj	['Red <obj', 'ustanovil', '>nsubj kralj']	O	V	S	OVS	SSJ
Redčenje <nsubj ima >obj vrsto	['Redčenje <nsubj', 'ima', '>obj vrsto']	S	V	O	SVO	SSJ
Rejci <nsubj pričakujejo >obj članice	['Rejci <nsubj', 'pričakujejo', '>obj članice']	S	V	O	SVO	SSJ
Renton <nsubj stavil >obj denar	['Renton <nsubj', 'stavil', '>obj denar']	S	V	O	SVO	SSJ
Renzo <nsubj Prosperja <obj popeljal	['Renzo <nsubj', 'Prosperja <obj', 'popeljal']	S	O	V	SOV	SSJ
Renzo <nsubj vodil >obj spremljevalca	['Renzo <nsubj', 'vodil', '>obj spremljevalca']	S	V	O	SVO	SSJ
Reprezentanti <nsubj dovolili >obj presenečenj	['Reprezentanti <nsubj', 'dovolili', '>obj presenečenj']	S	V	O	SVO	SSJ
Republika <nsubj dobiva >obj pomoči	['Republika <nsubj', 'dobiva', '>obj pomoči']	S	V	O	SVO	SSJ
Republika <nsubj točko <obj dosegla	['Republika <nsubj', 'točko <obj', 'dosegla']	S	O	V	SOV	SSJ
Republike <nsubj izgubile >obj vlogo	['Republike <nsubj', 'izgubile', '>obj vlogo']	S	V	O	SVO	SSJ
Resnica <nsubj prinesla >obj poročilo	['Resnica <nsubj', 'prinesla', '>obj poročilo']	S	V	O	SVO	SSJ
Rezultati <nsubj razkrilo >obj navade	['Rezultati <nsubj', 'razkrilo', '>obj navade']	S	V	O	SVO	SSJ
Reševalci <nsubj opravili >obj voženj	['Reševalci <nsubj', 'opravili', '>obj voženj']	S	V	O	SVO	SSJ
Režiser <nsubj dobil >obj nagrado	['Režiser <nsubj', 'dobil', '>obj nagrado']	S	V	O	SVO	SSJ
Riccio <nsubj počrnil >obj obraz	['Riccio <nsubj', 'počrnil', '>obj obraz']	S	V	O	SVO	SSJ
Richard <nsubj imenoval >obj množico	['Richard <nsubj', 'imenoval', '>obj množico']	S	V	O	SVO	SSJ
Rim <nsubj napovedal >obj vojno	['Rim <nsubj', 'napovedal', '>obj vojno']	S	V	O	SVO	SSJ
Rimljani <nsubj prekuhali >obj vino	['Rimljani <nsubj', 'prekuhali', '>obj vino']	S	V	O	SVO	SSJ
Rimljani <nsubj zgradili >obj utrdbo	['Rimljani <nsubj', 'zgradili', '>obj utrdbo']	S	V	O	SVO	SSJ
Robert <nsubj kariere <obj nadaljeval	['Robert <nsubj', 'kariere <obj', 'nadaljeval']	S	O	V	SOV	SSJ
Robert <nsubj naznani >obj odkritje	['Robert <nsubj', 'naznani', '>obj odkritje']	S	V	O	SVO	SSJ
Rojs <nsubj zamenjal >obj človeka	['Rojs <nsubj', 'zamenjal', '>obj človeka']	S	V	O	SVO	SSJ
Rokometašice <nsubj imajo >obj izkušenj	['Rokometašice <nsubj', 'imajo', '>obj izkušenj']	S	V	O	SVO	SSJ
Roman <nsubj opisuje >obj opitost	['Roman <nsubj', 'opisuje', '>obj opitost']	S	V	O	SVO	SSJ
Rupla <obj skrbi >nsubj usoda	['Rupla <obj', 'skrbi', '>nsubj usoda']	O	V	S	OVS	SSJ
Rus <nsubj zadel >obj kroga	['Rus <nsubj', 'zadel', '>obj kroga']	S	V	O	SVO	SSJ
Rusi <nsubj izgubili >obj mož	['Rusi <nsubj', 'izgubili', '>obj mož']	S	V	O	SVO	SSJ
Rusija <nsubj pripisuje >obj značaj	['Rusija <nsubj', 'pripisuje', '>obj značaj']	S	V	O	SVO	SSJ
Rusija <nsubj sprožila >obj ofenzivo	['Rusija <nsubj', 'sprožila', '>obj ofenzivo']	S	V	O	SVO	SSJ
Rusijo <obj predstavljalo >nsubj ekip	['Rusijo <obj', 'predstavljalo', '>nsubj ekip']	O	V	S	OVS	SSJ
Ruskin <nsubj mi <obj zdel	['Ruskin <nsubj', 'mi <obj', 'zdel']	S	O	V	SOV	SSJ
S. <nsubj potegnil >obj pištolo	['S. <nsubj', 'potegnil', '>obj pištolo']	S	V	O	SVO	SSJ
SAS <nsubj analize <obj proučil	['SAS <nsubj', 'analize <obj', 'proučil']	S	O	V	SOV	SSJ
SCT <nsubj gradil >obj objekte	['SCT <nsubj', 'gradil', '>obj objekte']	S	V	O	SVO	SSJ
SLS <nsubj povezovala >obj sodelovanje	['SLS <nsubj', 'povezovala', '>obj sodelovanje']	S	V	O	SVO	SSJ
SLS <nsubj proslavila >obj obletnico	['SLS <nsubj', 'proslavila', '>obj obletnico']	S	V	O	SVO	SSJ
SNTO <nsubj igral >obj vlogo	['SNTO <nsubj', 'igral', '>obj vlogo']	S	V	O	SVO	SSJ
Sacramento <nsubj preživel >obj napad	['Sacramento <nsubj', 'preživel', '>obj napad']	S	V	O	SVO	SSJ
Sadje <nsubj imata >obj luč	['Sadje <nsubj', 'imata', '>obj luč']	S	V	O	SVO	SSJ
Sam <nsubj uvaja >obj pojem	['Sam <nsubj', 'uvaja', '>obj pojem']	S	V	O	SVO	SSJ
Sama <nsubj tenis <obj igrala	['Sama <nsubj', 'tenis <obj', 'igrala']	S	O	V	SOV	SSJ
Samci <nsubj imajo >obj teritorije	['Samci <nsubj', 'imajo', '>obj teritorije']	S	V	O	SVO	SSJ
Samica <nsubj pripravi >obj gnezdo	['Samica <nsubj', 'pripravi', '>obj gnezdo']	S	V	O	SVO	SSJ
San <obj priključili >nsubj Robert	['San <obj', 'priključili', '>nsubj Robert']	O	V	S	OVS	SSJ
Sandomierz <nsubj izgubil >obj vlogo	['Sandomierz <nsubj', 'izgubil', '>obj vlogo']	S	V	O	SVO	SSJ
Sandra <nsubj našla >obj službo	['Sandra <nsubj', 'našla', '>obj službo']	S	V	O	SVO	SSJ
Satellite <nsubj premore >obj vmesnika	['Satellite <nsubj', 'premore', '>obj vmesnika']	S	V	O	SVO	SSJ
Savio <nsubj pokaže >obj beležko	['Savio <nsubj', 'pokaže', '>obj beležko']	S	V	O	SVO	SSJ
Schleicher <nsubj zganjal >obj politiko	['Schleicher <nsubj', 'zganjal', '>obj politiko']	S	V	O	SVO	SSJ
Scipio <nsubj opazoval >obj fotografijo	['Scipio <nsubj', 'opazoval', '>obj fotografijo']	S	V	O	SVO	SSJ
Scipio <nsubj stisnil >obj ustnice	['Scipio <nsubj', 'stisnil', '>obj ustnice']	S	V	O	SVO	SSJ
Scipiu <obj bo >nsubj tole	['Scipiu <obj', 'bo', '>nsubj tole']	O	V	S	OVS	SSJ
Searle <nsubj odkril >obj asteroid	['Searle <nsubj', 'odkril', '>obj asteroid']	S	V	O	SVO	SSJ
Sedež <obj zagotovilo >nsubj poslancev	['Sedež <obj', 'zagotovilo', '>nsubj poslancev']	O	V	S	OVS	SSJ
Semena <obj raznašajo >nsubj mravlje	['Semena <obj', 'raznašajo', '>nsubj mravlje']	O	V	S	OVS	SSJ
Sen <nsubj mi <obj zdel	['Sen <nsubj', 'mi <obj', 'zdel']	S	O	V	SOV	SSJ
Senate <obj sestavljajo >nsubj profesorji	['Senate <obj', 'sestavljajo', '>nsubj profesorji']	O	V	S	OVS	SSJ
Serchuk <nsubj obiskal >obj Evropo	['Serchuk <nsubj', 'obiskal', '>obj Evropo']	S	V	O	SVO	SSJ
Setev <nsubj dala >obj rezultate	['Setev <nsubj', 'dala', '>obj rezultate']	S	V	O	SVO	SSJ
Seznam <obj objavlja >nsubj revija	['Seznam <obj', 'objavlja', '>nsubj revija']	O	V	S	OVS	SSJ
Seznanitev <nsubj stranke <obj odvrnila	['Seznanitev <nsubj', 'stranke <obj', 'odvrnila']	S	O	V	SOV	SSJ
Sikboj <nsubj me <obj opozoru	['Sikboj <nsubj', 'me <obj', 'opozoru']	S	O	V	SOV	SSJ
Sikboj <nsubj poslušu >obj debato	['Sikboj <nsubj', 'poslušu', '>obj debato']	S	V	O	SVO	SSJ
Simbol <nsubj izraža >obj razgaljenost	['Simbol <nsubj', 'izraža', '>obj razgaljenost']	S	V	O	SVO	SSJ
Simon <nsubj vodil >obj moštvo	['Simon <nsubj', 'vodil', '>obj moštvo']	S	V	O	SVO	SSJ
