Tree	Transformed_Tree	One	Two	Three	Pattern
Natakarji <nsubj jo <obj sovražijo	['Natakarji <nsubj', 'jo <obj', 'sovražijo']	S	O	V	SOV
Natakarji <nsubj ponovijo >obj obred	['Natakarji <nsubj', 'ponovijo', '>obj obred']	S	V	O	SVO
Nataša <nsubj brije >obj norca	['Nataša <nsubj', 'brije', '>obj norca']	S	V	O	SVO
Nataša <nsubj opazi >obj pogled	['Nataša <nsubj', 'opazi', '>obj pogled']	S	V	O	SVO
Nataša <nsubj razkrila >obj povezave	['Nataša <nsubj', 'razkrila', '>obj povezave']	S	V	O	SVO
Naum <nsubj ustanovil >obj samostan	['Naum <nsubj', 'ustanovil', '>obj samostan']	S	V	O	SVO
Načrt <nsubj zajemal >obj nadaljevanje	['Načrt <nsubj', 'zajemal', '>obj nadaljevanje']	S	V	O	SVO
Našel >obj ga >nsubj policist	['Našel', '>obj ga', '>nsubj policist']	V	O	S	VOS
Nebo <obj zastirali >nsubj oblaki	['Nebo <obj', 'zastirali', '>nsubj oblaki']	O	V	S	OVS
Nekaj <nsubj ga <obj potegnilo	['Nekaj <nsubj', 'ga <obj', 'potegnilo']	S	O	V	SOV
Nekateri <nsubj nabirajo >obj regrat	['Nekateri <nsubj', 'nabirajo', '>obj regrat']	S	V	O	SVO
Nekateri <nsubj ohranijo >obj obliko	['Nekateri <nsubj', 'ohranijo', '>obj obliko']	S	V	O	SVO
Nekateri <nsubj stisko <obj rešujejo	['Nekateri <nsubj', 'stisko <obj', 'rešujejo']	S	O	V	SOV
Nemci <nsubj nekaj <obj čarajo	['Nemci <nsubj', 'nekaj <obj', 'čarajo']	S	O	V	SOV
Nemci <nsubj okupirali >obj Madžarsko	['Nemci <nsubj', 'okupirali', '>obj Madžarsko']	S	V	O	SVO
Nemci <nsubj pripeljali >obj strokovnjake	['Nemci <nsubj', 'pripeljali', '>obj strokovnjake']	S	V	O	SVO
Nemci <nsubj videli >obj vojno	['Nemci <nsubj', 'videli', '>obj vojno']	S	V	O	SVO
Nemčija <nsubj podpira >obj vogale	['Nemčija <nsubj', 'podpira', '>obj vogale']	S	V	O	SVO
Nemčija <nsubj podpisali >obj dokument	['Nemčija <nsubj', 'podpisali', '>obj dokument']	S	V	O	SVO
Nemčija <nsubj preprečila >obj pridružitev	['Nemčija <nsubj', 'preprečila', '>obj pridružitev']	S	V	O	SVO
Nesreča <nsubj povzročila >obj trenja	['Nesreča <nsubj', 'povzročila', '>obj trenja']	S	V	O	SVO
Nicoletta <nsubj uresničila >obj željo	['Nicoletta <nsubj', 'uresničila', '>obj željo']	S	V	O	SVO
Nihče <nsubj nasprotoval >obj napredku	['Nihče <nsubj', 'nasprotoval', '>obj napredku']	S	V	O	SVO
Nihče <nsubj oporekal >obj temu	['Nihče <nsubj', 'oporekal', '>obj temu']	S	V	O	SVO
Nihče <nsubj piše >obj urnika	['Nihče <nsubj', 'piše', '>obj urnika']	S	V	O	SVO
Nihče <nsubj želi >obj vojne	['Nihče <nsubj', 'želi', '>obj vojne']	S	V	O	SVO
Nikolaj <nsubj plačal >obj funtov	['Nikolaj <nsubj', 'plačal', '>obj funtov']	S	V	O	SVO
Nikolaju <obj bilo >nsubj delo	['Nikolaju <obj', 'bilo', '>nsubj delo']	O	V	S	OVS
Nimeiri <nsubj prepovedal >obj goloto	['Nimeiri <nsubj', 'prepovedal', '>obj goloto']	S	V	O	SVO
Nivo <nsubj daje >obj krivuljo	['Nivo <nsubj', 'daje', '>obj krivuljo']	S	V	O	SVO
Nokia <nsubj ima >obj gumb	['Nokia <nsubj', 'ima', '>obj gumb']	S	V	O	SVO
Nokia <nsubj priložila >obj polnilnik	['Nokia <nsubj', 'priložila', '>obj polnilnik']	S	V	O	SVO
Normandijo <obj dobil >nsubj sin	['Normandijo <obj', 'dobil', '>nsubj sin']	O	V	S	OVS
Norveška <nsubj uporabljala >obj zastavo	['Norveška <nsubj', 'uporabljala', '>obj zastavo']	S	V	O	SVO
Novgorod <nsubj gostil >obj tekmo	['Novgorod <nsubj', 'gostil', '>obj tekmo']	S	V	O	SVO
Novico <obj javnost <nsubj sprejeli	['Novico <obj', 'javnost <nsubj', 'sprejeli']	O	S	V	OSV
Novinarji <nsubj ga <obj staknili	['Novinarji <nsubj', 'ga <obj', 'staknili']	S	O	V	SOV
Novinarji <nsubj nastavijo >obj ogledalo	['Novinarji <nsubj', 'nastavijo', '>obj ogledalo']	S	V	O	SVO
Nubijci <nsubj cenijo >obj lepoto	['Nubijci <nsubj', 'cenijo', '>obj lepoto']	S	V	O	SVO
Nubijci <nsubj nosili >obj hlače	['Nubijci <nsubj', 'nosili', '>obj hlače']	S	V	O	SVO
Nueri <nsubj spominjajo >obj prednikov	['Nueri <nsubj', 'spominjajo', '>obj prednikov']	S	V	O	SVO
OR <nsubj oblikuje >obj mnenje	['OR <nsubj', 'oblikuje', '>obj mnenje']	S	V	O	SVO
OR <nsubj pripravlja >obj študije	['OR <nsubj', 'pripravlja', '>obj študije']	S	V	O	SVO
ORGANIZACIJA <nsubj ORGANIZIRA >obj DELO	['ORGANIZACIJA <nsubj', 'ORGANIZIRA', '>obj DELO']	S	V	O	SVO
OVSE <nsubj spremljal >obj premirje	['OVSE <nsubj', 'spremljal', '>obj premirje']	S	V	O	SVO
Oba <nsubj izjavila >obj isto	['Oba <nsubj', 'izjavila', '>obj isto']	S	V	O	SVO
Oba <nsubj izrazila >obj priznanje	['Oba <nsubj', 'izrazila', '>obj priznanje']	S	V	O	SVO
Oba <nsubj razumela >obj užitek	['Oba <nsubj', 'razumela', '>obj užitek']	S	V	O	SVO
Obisk <nsubj nosil >obj simboliko	['Obisk <nsubj', 'nosil', '>obj simboliko']	S	V	O	SVO
Obiskovalce <obj pospremi >nsubj vodnik	['Obiskovalce <obj', 'pospremi', '>nsubj vodnik']	O	V	S	OVS
Objekt <obj Stedek <nsubj kupil	['Objekt <obj', 'Stedek <nsubj', 'kupil']	O	S	V	OSV
Oboje <nsubj obetata >obj vsem	['Oboje <nsubj', 'obetata', '>obj vsem']	S	V	O	SVO
Občani <nsubj odpadkov <obj zložili	['Občani <nsubj', 'odpadkov <obj', 'zložili']	S	O	V	SOV
Občina <nsubj gaj <obj zaščitila	['Občina <nsubj', 'gaj <obj', 'zaščitila']	S	O	V	SOV
Občina <nsubj ima >obj projekt	['Občina <nsubj', 'ima', '>obj projekt']	S	V	O	SVO
Občina <nsubj pripravili >obj Večer	['Občina <nsubj', 'pripravili', '>obj Večer']	S	V	O	SVO
Občina <nsubj prispevala >obj denarja	['Občina <nsubj', 'prispevala', '>obj denarja']	S	V	O	SVO
Občina <nsubj ustanovila >obj park	['Občina <nsubj', 'ustanovila', '>obj park']	S	V	O	SVO
Občine <nsubj dodelijo >obj sredstva	['Občine <nsubj', 'dodelijo', '>obj sredstva']	S	V	O	SVO
Občutek <nsubj muči >obj večino	['Občutek <nsubj', 'muči', '>obj večino']	S	V	O	SVO
Občutki <nsubj načine <obj opremijo	['Občutki <nsubj', 'načine <obj', 'opremijo']	S	O	V	SOV
Odbor <nsubj amandma <obj podpira	['Odbor <nsubj', 'amandma <obj', 'podpira']	S	O	V	SOV
Odbor <nsubj amandmaja <obj podpira	['Odbor <nsubj', 'amandmaja <obj', 'podpira']	S	O	V	SOV
Odbor <nsubj izrazi >obj stališče	['Odbor <nsubj', 'izrazi', '>obj stališče']	S	V	O	SVO
Odbor <nsubj izrazil >obj zaskrbljenost	['Odbor <nsubj', 'izrazil', '>obj zaskrbljenost']	S	V	O	SVO
Odbor <nsubj predlagal >obj uvrstitve	['Odbor <nsubj', 'predlagal', '>obj uvrstitve']	S	V	O	SVO
Odbor <nsubj pripravlja >obj zbornik	['Odbor <nsubj', 'pripravlja', '>obj zbornik']	S	V	O	SVO
Odbor <nsubj proučil >obj predlog	['Odbor <nsubj', 'proučil', '>obj predlog']	S	V	O	SVO
Odbor <obj financira >nsubj komisija	['Odbor <obj', 'financira', '>nsubj komisija']	O	V	S	OVS
Oddelek <nsubj pripravil >obj posvet	['Oddelek <nsubj', 'pripravil', '>obj posvet']	S	V	O	SVO
Odločitev <nsubj spremeni >obj položaja	['Odločitev <nsubj', 'spremeni', '>obj položaja']	S	V	O	SVO
Odvetnik <nsubj zavrnila >obj namige	['Odvetnik <nsubj', 'zavrnila', '>obj namige']	S	V	O	SVO
Oficir <nsubj ga <obj pozdravil	['Oficir <nsubj', 'ga <obj', 'pozdravil']	S	O	V	SOV
Ogenj <nsubj povzročil >obj milijonov	['Ogenj <nsubj', 'povzročil', '>obj milijonov']	S	V	O	SVO
Ogenj <nsubj zajel >obj hišo	['Ogenj <nsubj', 'zajel', '>obj hišo']	S	V	O	SVO
Ogled <obj prevzel >nsubj sodnik	['Ogled <obj', 'prevzel', '>nsubj sodnik']	O	V	S	OVS
Ogrska <nsubj preživela >obj invazijo	['Ogrska <nsubj', 'preživela', '>obj invazijo']	S	V	O	SVO
Ohranitev <nsubj zahteva >obj odrekanja	['Ohranitev <nsubj', 'zahteva', '>obj odrekanja']	S	V	O	SVO
Okolje <nsubj usmerjalo >obj zanimanje	['Okolje <nsubj', 'usmerjalo', '>obj zanimanje']	S	V	O	SVO
Okolje <nsubj vas <obj sprejemalo	['Okolje <nsubj', 'vas <obj', 'sprejemalo']	S	O	V	SOV
Okužba <nsubj povzroči >obj spekter	['Okužba <nsubj', 'povzroči', '>obj spekter']	S	V	O	SVO
Okužba <nsubj povzroči >obj stopnje	['Okužba <nsubj', 'povzroči', '>obj stopnje']	S	V	O	SVO
Okvirji <nsubj zagotavljajo >obj obliko	['Okvirji <nsubj', 'zagotavljajo', '>obj obliko']	S	V	O	SVO
Oleskiw <nsubj predlagal >obj Genika	['Oleskiw <nsubj', 'predlagal', '>obj Genika']	S	V	O	SVO
Oliver <nsubj priigral >obj četrtfinale	['Oliver <nsubj', 'priigral', '>obj četrtfinale']	S	V	O	SVO
On <nsubj naslova <obj želel	['On <nsubj', 'naslova <obj', 'želel']	S	O	V	SOV
Ona <nsubj izgubila >obj dar	['Ona <nsubj', 'izgubila', '>obj dar']	S	V	O	SVO
Opazovanje <obj otežuje >nsubj bližina	['Opazovanje <obj', 'otežuje', '>nsubj bližina']	O	V	S	OVS
Organizacija <nsubj izvaja >obj storitve	['Organizacija <nsubj', 'izvaja', '>obj storitve']	S	V	O	SVO
Organizacija <nsubj pokazala >obj slabosti	['Organizacija <nsubj', 'pokazala', '>obj slabosti']	S	V	O	SVO
Organizem <nsubj potrebuje >obj snovi	['Organizem <nsubj', 'potrebuje', '>obj snovi']	S	V	O	SVO
Orlando <nsubj zapustil >obj tiskarno	['Orlando <nsubj', 'zapustil', '>obj tiskarno']	S	V	O	SVO
Orožje <nsubj imelo >obj posledice	['Orožje <nsubj', 'imelo', '>obj posledice']	S	V	O	SVO
Osebe <nsubj imajo >obj %	['Osebe <nsubj', 'imajo', '>obj %']	S	V	O	SVO
Osumljenega <obj policisti <nsubj odkrili	['Osumljenega <obj', 'policisti <nsubj', 'odkrili']	O	S	V	OSV
Otok <obj odkril >nsubj Jean	['Otok <obj', 'odkril', '>nsubj Jean']	O	V	S	OVS
Otroci <nsubj imajo >obj lutke	['Otroci <nsubj', 'imajo', '>obj lutke']	S	V	O	SVO
Otroci <nsubj potrebujejo >obj operacijo	['Otroci <nsubj', 'potrebujejo', '>obj operacijo']	S	V	O	SVO
Otroci <nsubj prenašajo >obj bakterije	['Otroci <nsubj', 'prenašajo', '>obj bakterije']	S	V	O	SVO
Otroci <nsubj prodajajo >obj borovnice	['Otroci <nsubj', 'prodajajo', '>obj borovnice']	S	V	O	SVO
Otroci <nsubj spuščajo >obj mehurčke	['Otroci <nsubj', 'spuščajo', '>obj mehurčke']	S	V	O	SVO
Otrok <nsubj nauči >obj tistega	['Otrok <nsubj', 'nauči', '>obj tistega']	S	V	O	SVO
Otrok <nsubj vibracije <obj poveže	['Otrok <nsubj', 'vibracije <obj', 'poveže']	S	O	V	SOV
Otroka <nsubj imela >obj sobo	['Otroka <nsubj', 'imela', '>obj sobo']	S	V	O	SVO
Otrokom <obj so >nsubj dude	['Otrokom <obj', 'so', '>nsubj dude']	O	V	S	OVS
Otrokoma <obj to <nsubj ni	['Otrokoma <obj', 'to <nsubj', 'ni']	O	S	V	OSV
Oven <nsubj hvali >obj tehniko	['Oven <nsubj', 'hvali', '>obj tehniko']	S	V	O	SVO
Oven <nsubj najde >obj dušo	['Oven <nsubj', 'najde', '>obj dušo']	S	V	O	SVO
Oče <nsubj podaril >obj kamero	['Oče <nsubj', 'podaril', '>obj kamero']	S	V	O	SVO
Očividci <nsubj zapomnili >obj ženski	['Očividci <nsubj', 'zapomnili', '>obj ženski']	S	V	O	SVO
Oškodovanka <nsubj nosila >obj tolarjev	['Oškodovanka <nsubj', 'nosila', '>obj tolarjev']	S	V	O	SVO
PARKI <nsubj OHRANILI >obj ČISTOST	['PARKI <nsubj', 'OHRANILI', '>obj ČISTOST']	S	V	O	SVO
PARKI <nsubj PREDSTAVLJALI >obj DIMENZIJO	['PARKI <nsubj', 'PREDSTAVLJALI', '>obj DIMENZIJO']	S	V	O	SVO
PARTNERJI <nsubj OPREDELILI >obj NALOGE	['PARTNERJI <nsubj', 'OPREDELILI', '>obj NALOGE']	S	V	O	SVO
PDFji <nsubj vsebujejo >obj sliko	['PDFji <nsubj', 'vsebujejo', '>obj sliko']	S	V	O	SVO
POGREBNIK <nsubj RAZKRIL >obj SPOL	['POGREBNIK <nsubj', 'RAZKRIL', '>obj SPOL']	S	V	O	SVO
POPOTNICI <nsubj NAPAD <obj INTERPRETIRATA	['POPOTNICI <nsubj', 'NAPAD <obj', 'INTERPRETIRATA']	S	O	V	SOV
POSKUSA <nsubj SPREMENILA >obj ODNOS	['POSKUSA <nsubj', 'SPREMENILA', '>obj ODNOS']	S	V	O	SVO
PRITOŽBA <nsubj ZADRŽI >obj IZVRŠITEV	['PRITOŽBA <nsubj', 'ZADRŽI', '>obj IZVRŠITEV']	S	V	O	SVO
Packard <nsubj navrgel >obj dodatkov	['Packard <nsubj', 'navrgel', '>obj dodatkov']	S	V	O	SVO
Packard <nsubj ponudil >obj računalnik	['Packard <nsubj', 'ponudil', '>obj računalnik']	S	V	O	SVO
Pastirica <nsubj me <obj povabila	['Pastirica <nsubj', 'me <obj', 'povabila']	S	O	V	SOV
Pavarotti <nsubj prebrodil >obj dolino	['Pavarotti <nsubj', 'prebrodil', '>obj dolino']	S	V	O	SVO
Pavel <nsubj našteva >obj kreposti	['Pavel <nsubj', 'našteva', '>obj kreposti']	S	V	O	SVO
Payne <nsubj preučevala >obj zvezde	['Payne <nsubj', 'preučevala', '>obj zvezde']	S	V	O	SVO
Periklej <nsubj imel >obj vpliv	['Periklej <nsubj', 'imel', '>obj vpliv']	S	V	O	SVO
Perić <nsubj ubranil >obj sedemmetrovko	['Perić <nsubj', 'ubranil', '>obj sedemmetrovko']	S	V	O	SVO
Petrol <nsubj pripravil >obj poročilo	['Petrol <nsubj', 'pripravil', '>obj poročilo']	S	V	O	SVO
Pevci <nsubj predstavili >obj dela	['Pevci <nsubj', 'predstavili', '>obj dela']	S	V	O	SVO
Pevec <nsubj Alice <obj obožuje	['Pevec <nsubj', 'Alice <obj', 'obožuje']	S	O	V	SOV
Pfizer <nsubj povzročil >obj pretres	['Pfizer <nsubj', 'povzročil', '>obj pretres']	S	V	O	SVO
Phil <nsubj kuhal >obj jezo	['Phil <nsubj', 'kuhal', '>obj jezo']	S	V	O	SVO
Pinije <nsubj upogibale >obj glave	['Pinije <nsubj', 'upogibale', '>obj glave']	S	V	O	SVO
Pioneer <nsubj nosita >obj plošči	['Pioneer <nsubj', 'nosita', '>obj plošči']	S	V	O	SVO
Pisatelj <nsubj čutil >obj odtujenosti	['Pisatelj <nsubj', 'čutil', '>obj odtujenosti']	S	V	O	SVO
Pisatelji <nsubj obiskali >obj mest	['Pisatelji <nsubj', 'obiskali', '>obj mest']	S	V	O	SVO
Pisec <nsubj imel >obj predstavi	['Pisec <nsubj', 'imel', '>obj predstavi']	S	V	O	SVO
Platforma <nsubj omogoča >obj ustvarjanje	['Platforma <nsubj', 'omogoča', '>obj ustvarjanje']	S	V	O	SVO
Pljučnice <nsubj kažejo >obj simptome	['Pljučnice <nsubj', 'kažejo', '>obj simptome']	S	V	O	SVO
Podatki <nsubj omogočajo >obj odločitve	['Podatki <nsubj', 'omogočajo', '>obj odločitve']	S	V	O	SVO
Podjetje <nsubj ponudilo >obj video	['Podjetje <nsubj', 'ponudilo', '>obj video']	S	V	O	SVO
Podjetje <nsubj vključuje >obj gospodinjstev	['Podjetje <nsubj', 'vključuje', '>obj gospodinjstev']	S	V	O	SVO
Podjetje <obj vodi >nsubj STANIŠA	['Podjetje <obj', 'vodi', '>nsubj STANIŠA']	O	V	S	OVS
Pogodba <nsubj obvezuje >obj komisijo	['Pogodba <nsubj', 'obvezuje', '>obj komisijo']	S	V	O	SVO
Pogodba <nsubj omogoča >obj prenos	['Pogodba <nsubj', 'omogoča', '>obj prenos']	S	V	O	SVO
Pohvalil >obj ga >nsubj Einstein	['Pohvalil', '>obj ga', '>nsubj Einstein']	V	O	S	VOS
Pokal <obj osvojil >nsubj klub	['Pokal <obj', 'osvojil', '>nsubj klub']	O	V	S	OVS
Poklic <obj predstavila >nsubj Katarina	['Poklic <obj', 'predstavila', '>nsubj Katarina']	O	V	S	OVS
Pokora <nsubj me <obj odkupila	['Pokora <nsubj', 'me <obj', 'odkupila']	S	O	V	SOV
Policist <nsubj jo <obj pogledal	['Policist <nsubj', 'jo <obj', 'pogledal']	S	O	V	SOV
Policista <nsubj ga <obj obvladala	['Policista <nsubj', 'ga <obj', 'obvladala']	S	O	V	SOV
Policisti <nsubj imajo >obj pravico	['Policisti <nsubj', 'imajo', '>obj pravico']	S	V	O	SVO
Policisti <nsubj odredili >obj pridržanje	['Policisti <nsubj', 'odredili', '>obj pridržanje']	S	V	O	SVO
Policisti <nsubj pregledali >obj hišo	['Policisti <nsubj', 'pregledali', '>obj hišo']	S	V	O	SVO
Politiki <nsubj bojijo >obj mnenja	['Politiki <nsubj', 'bojijo', '>obj mnenja']	S	V	O	SVO
Politiki <nsubj izgubljajo >obj razsodnost	['Politiki <nsubj', 'izgubljajo', '>obj razsodnost']	S	V	O	SVO
Poljska <nsubj pridobila >obj neodvisnost	['Poljska <nsubj', 'pridobila', '>obj neodvisnost']	S	V	O	SVO
Poljska <nsubj zahteva >obj obdobja	['Poljska <nsubj', 'zahteva', '>obj obdobja']	S	V	O	SVO
Pomenilo >nsubj to >obj neprepoznavanje	['Pomenilo', '>nsubj to', '>obj neprepoznavanje']	V	S	O	VSO
Pomurci <nsubj osvojili >obj kopico	['Pomurci <nsubj', 'osvojili', '>obj kopico']	S	V	O	SVO
Ponižnega <obj Bog <nsubj čuva	['Ponižnega <obj', 'Bog <nsubj', 'čuva']	O	S	V	OSV
Popoldnevi <nsubj predstavljajo >obj užitek	['Popoldnevi <nsubj', 'predstavljajo', '>obj užitek']	S	V	O	SVO
Popuščanje <nsubj oslabilo >obj značaj	['Popuščanje <nsubj', 'oslabilo', '>obj značaj']	S	V	O	SVO
Poravnavo <obj podpisali >nsubj predstavniki	['Poravnavo <obj', 'podpisali', '>nsubj predstavniki']	O	V	S	OVS
Poraženci <nsubj nimajo >obj časa	['Poraženci <nsubj', 'nimajo', '>obj časa']	S	V	O	SVO
Poročilo <nsubj razburilo >obj duhove	['Poročilo <nsubj', 'razburilo', '>obj duhove']	S	V	O	SVO
Poročilo <obj inšpektor <nsubj predstavil	['Poročilo <obj', 'inšpektor <nsubj', 'predstavil']	O	S	V	OSV
Portal <nsubj vsebuje >obj podatke	['Portal <nsubj', 'vsebuje', '>obj podatke']	S	V	O	SVO
Portugalci <nsubj uprizorili >obj juriš	['Portugalci <nsubj', 'uprizorili', '>obj juriš']	S	V	O	SVO
Posamezniki <nsubj videli >obj sredstvo	['Posamezniki <nsubj', 'videli', '>obj sredstvo']	S	V	O	SVO
Poslanci <nsubj obravnavali >obj spremembe	['Poslanci <nsubj', 'obravnavali', '>obj spremembe']	S	V	O	SVO
Poslanci <nsubj obravnavo <obj nadaljevali	['Poslanci <nsubj', 'obravnavo <obj', 'nadaljevali']	S	O	V	SOV
Postavka <nsubj vključuje >obj stroške	['Postavka <nsubj', 'vključuje', '>obj stroške']	S	V	O	SVO
Postrvi <nsubj imajo >obj usta	['Postrvi <nsubj', 'imajo', '>obj usta']	S	V	O	SVO
Potočnik <nsubj izrazil >obj razumevanje	['Potočnik <nsubj', 'izrazil', '>obj razumevanje']	S	V	O	SVO
Potrpljenje <nsubj ima >obj meje	['Potrpljenje <nsubj', 'ima', '>obj meje']	S	V	O	SVO
Povečanju <obj nasprotujejo >nsubj prejemnice	['Povečanju <obj', 'nasprotujejo', '>nsubj prejemnice']	O	V	S	OVS
Poškodba <nsubj ga <obj izločila	['Poškodba <nsubj', 'ga <obj', 'izločila']	S	O	V	SOV
Pošta <nsubj dosegla >obj rezultate	['Pošta <nsubj', 'dosegla', '>obj rezultate']	S	V	O	SVO
Požar <nsubj uničil >obj streho	['Požar <nsubj', 'uničil', '>obj streho']	S	V	O	SVO
Pravico <obj imajo >nsubj najmočnejši	['Pravico <obj', 'imajo', '>nsubj najmočnejši']	O	V	S	OVS
Prebivalstvo <nsubj jih <obj sprejelo	['Prebivalstvo <nsubj', 'jih <obj', 'sprejelo']	S	O	V	SOV
Prebivalstvo <nsubj sprejelo >obj nadvlado	['Prebivalstvo <nsubj', 'sprejelo', '>obj nadvlado']	S	V	O	SVO
Predlog <obj predložila >nsubj Komisija	['Predlog <obj', 'predložila', '>nsubj Komisija']	O	V	S	OVS
Predložitvi <obj nasprotoval >nsubj minister	['Predložitvi <obj', 'nasprotoval', '>nsubj minister']	O	V	S	OVS
Predsednik <nsubj nadzoruje >obj Svet	['Predsednik <nsubj', 'nadzoruje', '>obj Svet']	S	V	O	SVO
Predsednik <nsubj navzoče <obj seznanil	['Predsednik <nsubj', 'navzoče <obj', 'seznanil']	S	O	V	SOV
Predsednik <nsubj razpusti >obj zbor	['Predsednik <nsubj', 'razpusti', '>obj zbor']	S	V	O	SVO
Predsednik <nsubj ustvaril >obj pokal	['Predsednik <nsubj', 'ustvaril', '>obj pokal']	S	V	O	SVO
Predsednika <obj direktor <nsubj seznanili	['Predsednika <obj', 'direktor <nsubj', 'seznanili']	O	S	V	OSV
Predsednika <obj izvolijo >nsubj člani	['Predsednika <obj', 'izvolijo', '>nsubj člani']	O	V	S	OVS
Predsedstvo <obj podpira >nsubj komisija	['Predsedstvo <obj', 'podpira', '>nsubj komisija']	O	V	S	OVS
Predstavilo >obj se >nsubj razstavljavcev	['Predstavilo', '>obj se', '>nsubj razstavljavcev']	V	O	S	VOS
Predstavnik <nsubj dobil >obj vina	['Predstavnik <nsubj', 'dobil', '>obj vina']	S	V	O	SVO
Predstavniki <nsubj dobili >obj denarja	['Predstavniki <nsubj', 'dobili', '>obj denarja']	S	V	O	SVO
Predstavniki <nsubj izrazili >obj ogorčenje	['Predstavniki <nsubj', 'izrazili', '>obj ogorčenje']	S	V	O	SVO
Predstavniki <nsubj podpišejo >obj sporazum	['Predstavniki <nsubj', 'podpišejo', '>obj sporazum']	S	V	O	SVO
Predstavniki <nsubj predstavili >obj program	['Predstavniki <nsubj', 'predstavili', '>obj program']	S	V	O	SVO
Premier <nsubj ima >obj roke	['Premier <nsubj', 'ima', '>obj roke']	S	V	O	SVO
Premier <nsubj odprl >obj sejem	['Premier <nsubj', 'odprl', '>obj sejem']	S	V	O	SVO
Premiera <nsubj imela >obj pogovor	['Premiera <nsubj', 'imela', '>obj pogovor']	S	V	O	SVO
Premik <nsubj sproži >obj spremembe	['Premik <nsubj', 'sproži', '>obj spremembe']	S	V	O	SVO
Preparat <nsubj vsebuje >obj mešanico	['Preparat <nsubj', 'vsebuje', '>obj mešanico']	S	V	O	SVO
Prevozniki <nsubj nižajo >obj stroške	['Prevozniki <nsubj', 'nižajo', '>obj stroške']	S	V	O	SVO
Prevzeli >obj me >nsubj prehodi	['Prevzeli', '>obj me', '>nsubj prehodi']	V	O	S	VOS
Priestley <nsubj obiskal >obj Lavoisiera	['Priestley <nsubj', 'obiskal', '>obj Lavoisiera']	S	V	O	SVO
Prilagajanje <nsubj povzroči >obj pridobitev	['Prilagajanje <nsubj', 'povzroči', '>obj pridobitev']	S	V	O	SVO
Primeri <nsubj prikazujejo >obj izvirnost	['Primeri <nsubj', 'prikazujejo', '>obj izvirnost']	S	V	O	SVO
Princ <nsubj udeleži >obj dogodkov	['Princ <nsubj', 'udeleži', '>obj dogodkov']	S	V	O	SVO
Priporočilo <nsubj ponuja >obj definicijo	['Priporočilo <nsubj', 'ponuja', '>obj definicijo']	S	V	O	SVO
Prireditev <obj povezoval >nsubj igralec	['Prireditev <obj', 'povezoval', '>nsubj igralec']	O	V	S	OVS
Prireditev <obj snema >nsubj postaja	['Prireditev <obj', 'snema', '>nsubj postaja']	O	V	S	OVS
Prispevek <nsubj obravnava >obj sisteme	['Prispevek <nsubj', 'obravnava', '>obj sisteme']	S	V	O	SVO
Prodajalci <nsubj imajo >obj prehode	['Prodajalci <nsubj', 'imajo', '>obj prehode']	S	V	O	SVO
Prodajali >obj jih >nsubj črnci	['Prodajali', '>obj jih', '>nsubj črnci']	V	O	S	VOS
Profesor <nsubj ga <obj pogleda	['Profesor <nsubj', 'ga <obj', 'pogleda']	S	O	V	SOV
Proga <nsubj tabornike <obj vodila	['Proga <nsubj', 'tabornike <obj', 'vodila']	S	O	V	SOV
Progesteron <nsubj prinaša >obj stvari	['Progesteron <nsubj', 'prinaša', '>obj stvari']	S	V	O	SVO
Program <nsubj obnovi >obj imenik	['Program <nsubj', 'obnovi', '>obj imenik']	S	V	O	SVO
Prokšelj <nsubj to <obj povedal	['Prokšelj <nsubj', 'to <obj', 'povedal']	S	O	V	SOV
Prosper <nsubj jo <obj vzel	['Prosper <nsubj', 'jo <obj', 'vzel']	S	O	V	SOV
Protokolov <obj Amerika <nsubj podpisali	['Protokolov <obj', 'Amerika <nsubj', 'podpisali']	O	S	V	OSV
Prusija <nsubj odmakne >obj nikomur	['Prusija <nsubj', 'odmakne', '>obj nikomur']	S	V	O	SVO
Prvenstvo <nsubj ima >obj čar	['Prvenstvo <nsubj', 'ima', '>obj čar']	S	V	O	SVO
Prvenstvo <obj osvoji >nsubj dirkač	['Prvenstvo <obj', 'osvoji', '>nsubj dirkač']	O	V	S	OVS
Prvi <nsubj izdeloval >obj vozila	['Prvi <nsubj', 'izdeloval', '>obj vozila']	S	V	O	SVO
Psihiater <nsubj naredil >obj študijo	['Psihiater <nsubj', 'naredil', '>obj študijo']	S	V	O	SVO
Psihoterapevtka <nsubj ponovila >obj stavek	['Psihoterapevtka <nsubj', 'ponovila', '>obj stavek']	S	V	O	SVO
Ptujčan <nsubj streznitev <obj dočakal	['Ptujčan <nsubj', 'streznitev <obj', 'dočakal']	S	O	V	SOV
Puruša <nsubj daruje >obj sebe	['Puruša <nsubj', 'daruje', '>obj sebe']	S	V	O	SVO
RAZPOREJANJE <obj UREJA >nsubj 24	['RAZPOREJANJE <obj', 'UREJA', '>nsubj 24']	O	V	S	OVS
RETScreen <nsubj prejel >obj nagrado	['RETScreen <nsubj', 'prejel', '>obj nagrado']	S	V	O	SVO
Radcliffe <nsubj koncept <obj izpeljal	['Radcliffe <nsubj', 'koncept <obj', 'izpeljal']	S	O	V	SOV
Ramsay <nsubj iskal >obj argon	['Ramsay <nsubj', 'iskal', '>obj argon']	S	V	O	SVO
Ravnatelj <nsubj zavrača >obj očitke	['Ravnatelj <nsubj', 'zavrača', '>obj očitke']	S	V	O	SVO
