Tree	Transformed_Tree	One	Two	Three	Pattern
jih <obj ljudje <nsubj razumeli	['jih <obj', 'ljudje <nsubj', 'razumeli']	O	S	V	OSV
jih <obj mi <nsubj uvrščamo	['jih <obj', 'mi <nsubj', 'uvrščamo']	O	S	V	OSV
jih <obj opisovali >nsubj pojmi	['jih <obj', 'opisovali', '>nsubj pojmi']	O	V	S	OVS
jih <obj opisujejo >nsubj drugi	['jih <obj', 'opisujejo', '>nsubj drugi']	O	V	S	OVS
jih <obj posredoval >nsubj predsednik	['jih <obj', 'posredoval', '>nsubj predsednik']	O	V	S	OVS
jih <obj postavili >nsubj teoretiki	['jih <obj', 'postavili', '>nsubj teoretiki']	O	V	S	OVS
jih <obj postavlja >nsubj agencija	['jih <obj', 'postavlja', '>nsubj agencija']	O	V	S	OVS
jih <obj prinesla >nsubj karantena	['jih <obj', 'prinesla', '>nsubj karantena']	O	V	S	OVS
jih <obj sami <nsubj uporabljajo	['jih <obj', 'sami <nsubj', 'uporabljajo']	O	S	V	OSV
jih <obj služba <nsubj detektirala	['jih <obj', 'služba <nsubj', 'detektirala']	O	S	V	OSV
jih <obj subkulture <nsubj imajo	['jih <obj', 'subkulture <nsubj', 'imajo']	O	S	V	OSV
jih <obj to <nsubj tiče	['jih <obj', 'to <nsubj', 'tiče']	O	S	V	OSV
jih <obj treniramo >nsubj mi	['jih <obj', 'treniramo', '>nsubj mi']	O	V	S	OVS
jih <obj uporabljajo >nsubj starejši	['jih <obj', 'uporabljajo', '>nsubj starejši']	O	V	S	OVS
jih <obj ženske <nsubj dajejo	['jih <obj', 'ženske <nsubj', 'dajejo']	O	S	V	OSV
jim <obj jaz <nsubj pravim	['jim <obj', 'jaz <nsubj', 'pravim']	O	S	V	OSV
jim <obj jaz <nsubj rečem	['jim <obj', 'jaz <nsubj', 'rečem']	O	S	V	OSV
jim <obj nekateri <nsubj pravijo	['jim <obj', 'nekateri <nsubj', 'pravijo']	O	S	V	OSV
jim <obj odpovedala >nsubj oskrbnica	['jim <obj', 'odpovedala', '>nsubj oskrbnica']	O	V	S	OVS
jim <obj to <nsubj olajšalo	['jim <obj', 'to <nsubj', 'olajšalo']	O	S	V	OSV
jim <obj to <nsubj rata	['jim <obj', 'to <nsubj', 'rata']	O	S	V	OSV
jim <obj to <nsubj ratalo	['jim <obj', 'to <nsubj', 'ratalo']	O	S	V	OSV
jima <obj life <nsubj spremenil	['jima <obj', 'life <nsubj', 'spremenil']	O	S	V	OSV
jo <obj določata >nsubj elementa	['jo <obj', 'določata', '>nsubj elementa']	O	V	S	OVS
jo <obj igrajo >nsubj člani	['jo <obj', 'igrajo', '>nsubj člani']	O	V	S	OVS
jo <obj imeli >nsubj učitelji	['jo <obj', 'imeli', '>nsubj učitelji']	O	V	S	OVS
jo <obj jaz <nsubj poznam	['jo <obj', 'jaz <nsubj', 'poznam']	O	S	V	OSV
jo <obj oblikujejo >nsubj dejavniki	['jo <obj', 'oblikujejo', '>nsubj dejavniki']	O	V	S	OVS
jo <obj pokliče >nsubj šef	['jo <obj', 'pokliče', '>nsubj šef']	O	V	S	OVS
jo <obj služba <nsubj raztrga	['jo <obj', 'služba <nsubj', 'raztrga']	O	S	V	OSV
jo <obj uporablja >nsubj število	['jo <obj', 'uporablja', '>nsubj število']	O	V	S	OVS
jo <obj vi <nsubj izkazali	['jo <obj', 'vi <nsubj', 'izkazali']	O	S	V	OSV
jo <obj vlaga >nsubj poslancev	['jo <obj', 'vlaga', '>nsubj poslancev']	O	V	S	OVS
jo <obj vodil >nsubj gospod	['jo <obj', 'vodil', '>nsubj gospod']	O	V	S	OVS
ju <obj jaz <nsubj pokličem	['ju <obj', 'jaz <nsubj', 'pokličem']	O	S	V	OSV
kaj <nsubj gledišča <obj tiče	['kaj <nsubj', 'gledišča <obj', 'tiče']	S	O	V	SOV
kaj <nsubj jo <obj dela	['kaj <nsubj', 'jo <obj', 'dela']	S	O	V	SOV
kaj <nsubj kapitala <obj tiče	['kaj <nsubj', 'kapitala <obj', 'tiče']	S	O	V	SOV
kaj <nsubj te <obj čaka	['kaj <nsubj', 'te <obj', 'čaka']	S	O	V	SOV
kaj <nsubj temu <obj reče	['kaj <nsubj', 'temu <obj', 'reče']	S	O	V	SOV
kaj <nsubj ti <obj zdi	['kaj <nsubj', 'ti <obj', 'zdi']	S	O	V	SOV
kaj <obj [name:personal] <nsubj rekel	['kaj <obj', '[name:personal] <nsubj', 'rekel']	O	S	V	OSV
kaj <obj bo >nsubj metronom	['kaj <obj', 'bo', '>nsubj metronom']	O	V	S	OVS
kaj <obj delate >nsubj izvajalci	['kaj <obj', 'delate', '>nsubj izvajalci']	O	V	S	OVS
kaj <obj delate >nsubj vi	['kaj <obj', 'delate', '>nsubj vi']	O	V	S	OVS
kaj <obj ima >nsubj Neža	['kaj <obj', 'ima', '>nsubj Neža']	O	V	S	OVS
kaj <obj imata >nsubj skupini	['kaj <obj', 'imata', '>nsubj skupini']	O	V	S	OVS
kaj <obj izraža >nsubj glagol	['kaj <obj', 'izraža', '>nsubj glagol']	O	V	S	OVS
kaj <obj jaz <nsubj rečem	['kaj <obj', 'jaz <nsubj', 'rečem']	O	S	V	OSV
kaj <obj midva <nsubj rekla	['kaj <obj', 'midva <nsubj', 'rekla']	O	S	V	OSV
kaj <obj misliš >nsubj ti	['kaj <obj', 'misliš', '>nsubj ti']	O	V	S	OVS
kaj <obj oni <nsubj delajo	['kaj <obj', 'oni <nsubj', 'delajo']	O	S	V	OSV
kaj <obj pokazala >nsubj pomlad	['kaj <obj', 'pokazala', '>nsubj pomlad']	O	V	S	OVS
kaj <obj pomeni >nsubj ta	['kaj <obj', 'pomeni', '>nsubj ta']	O	V	S	OVS
kaj <obj pravi >nsubj Nina	['kaj <obj', 'pravi', '>nsubj Nina']	O	V	S	OVS
kaj <obj pravite >nsubj vi	['kaj <obj', 'pravite', '>nsubj vi']	O	V	S	OVS
kaj <obj prineslo >nsubj leto	['kaj <obj', 'prineslo', '>nsubj leto']	O	V	S	OVS
kaj <obj pripravili >nsubj babe	['kaj <obj', 'pripravili', '>nsubj babe']	O	V	S	OVS
kaj <obj puščice <nsubj pomenijo	['kaj <obj', 'puščice <nsubj', 'pomenijo']	O	S	V	OSV
kaj <obj sama <nsubj pravi	['kaj <obj', 'sama <nsubj', 'pravi']	O	S	V	OSV
kaj <obj sistem <nsubj prinesel	['kaj <obj', 'sistem <nsubj', 'prinesel']	O	S	V	OSV
kaj <obj skupnost <nsubj naredi	['kaj <obj', 'skupnost <nsubj', 'naredi']	O	S	V	OSV
kaj <obj vemo >nsubj mi	['kaj <obj', 'vemo', '>nsubj mi']	O	V	S	OVS
kaj <obj vi <nsubj menite	['kaj <obj', 'vi <nsubj', 'menite']	O	S	V	OSV
kar <nsubj družbo <obj zanima	['kar <nsubj', 'družbo <obj', 'zanima']	S	O	V	SOV
kar <nsubj dvignilo >obj prahu	['kar <nsubj', 'dvignilo', '>obj prahu']	S	V	O	SVO
kar <nsubj ga <obj žene	['kar <nsubj', 'ga <obj', 'žene']	S	O	V	SOV
kar <nsubj interesa <obj tiče	['kar <nsubj', 'interesa <obj', 'tiče']	S	O	V	SOV
kar <nsubj jim <obj koristilo	['kar <nsubj', 'jim <obj', 'koristilo']	S	O	V	SOV
kar <nsubj meni <obj zdelo	['kar <nsubj', 'meni <obj', 'zdelo']	S	O	V	SOV
kar <nsubj mi <obj godi	['kar <nsubj', 'mi <obj', 'godi']	S	O	V	SOV
kar <nsubj mi <obj ni	['kar <nsubj', 'mi <obj', 'ni']	S	O	V	SOV
kar <nsubj naju <obj povezuje	['kar <nsubj', 'naju <obj', 'povezuje']	S	O	V	SOV
kar <nsubj nam <obj zdi	['kar <nsubj', 'nam <obj', 'zdi']	S	O	V	SOV
kar <nsubj pomeni >obj procentov	['kar <nsubj', 'pomeni', '>obj procentov']	S	V	O	SVO
kar <nsubj pomeni >obj številka	['kar <nsubj', 'pomeni', '>obj številka']	S	V	O	SVO
kar <nsubj predstavlja >obj izziv	['kar <nsubj', 'predstavlja', '>obj izziv']	S	V	O	SVO
kar <nsubj sledi >obj interesom	['kar <nsubj', 'sledi', '>obj interesom']	S	V	O	SVO
kar <nsubj sledi >obj potrebam	['kar <nsubj', 'sledi', '>obj potrebam']	S	V	O	SVO
kar <nsubj tiče >obj Mure	['kar <nsubj', 'tiče', '>obj Mure']	S	V	O	SVO
kar <nsubj tiče >obj kina	['kar <nsubj', 'tiče', '>obj kina']	S	V	O	SVO
kar <nsubj tiče >obj kolesarja	['kar <nsubj', 'tiče', '>obj kolesarja']	S	V	O	SVO
kar <nsubj tiče >obj ljudi	['kar <nsubj', 'tiče', '>obj ljudi']	S	V	O	SVO
kar <nsubj tiče >obj meda	['kar <nsubj', 'tiče', '>obj meda']	S	V	O	SVO
kar <nsubj tiče >obj prehrane	['kar <nsubj', 'tiče', '>obj prehrane']	S	V	O	SVO
kar <nsubj tiče >obj tega	['kar <nsubj', 'tiče', '>obj tega']	S	V	O	SVO
kar <nsubj tiče >obj češenj	['kar <nsubj', 'tiče', '>obj češenj']	S	V	O	SVO
kar <nsubj tiče >obj švicanja	['kar <nsubj', 'tiče', '>obj švicanja']	S	V	O	SVO
kar <nsubj zadeva >obj imetnike	['kar <nsubj', 'zadeva', '>obj imetnike']	S	V	O	SVO
kar <nsubj zadeva >obj zgodbe	['kar <nsubj', 'zadeva', '>obj zgodbe']	S	V	O	SVO
kar <nsubj študentom <obj zdi	['kar <nsubj', 'študentom <obj', 'zdi']	S	O	V	SOV
kar <obj direktiva <nsubj predvideva	['kar <obj', 'direktiva <nsubj', 'predvideva']	O	S	V	OSV
kar <obj dobiš >nsubj ti	['kar <obj', 'dobiš', '>nsubj ti']	O	V	S	OVS
kar <obj kaže >nsubj vrsta	['kar <obj', 'kaže', '>nsubj vrsta']	O	V	S	OVS
kar <obj kdo <nsubj predstavlja	['kar <obj', 'kdo <nsubj', 'predstavlja']	O	S	V	OSV
kar <obj kolega <nsubj povedal	['kar <obj', 'kolega <nsubj', 'povedal']	O	S	V	OSV
kar <obj otrok <nsubj rabi	['kar <obj', 'otrok <nsubj', 'rabi']	O	S	V	OSV
kar <obj predlagatelj <nsubj naslavlja	['kar <obj', 'predlagatelj <nsubj', 'naslavlja']	O	S	V	OSV
kar <obj ugotavljajo >nsubj institucije	['kar <obj', 'ugotavljajo', '>nsubj institucije']	O	V	S	OVS
kar <obj vsak <nsubj videl	['kar <obj', 'vsak <nsubj', 'videl']	O	S	V	OSV
kar <obj zbrani <nsubj pospremili	['kar <obj', 'zbrani <nsubj', 'pospremili']	O	S	V	OSV
kar <obj zdravnik <nsubj povedal	['kar <obj', 'zdravnik <nsubj', 'povedal']	O	S	V	OSV
kar <obj zdravnik <nsubj predpisal	['kar <obj', 'zdravnik <nsubj', 'predpisal']	O	S	V	OSV
kar <obj šola <nsubj razpiše	['kar <obj', 'šola <nsubj', 'razpiše']	O	S	V	OSV
katero <obj zmaga >nsubj aliansa	['katero <obj', 'zmaga', '>nsubj aliansa']	O	V	S	OVS
kdo <nsubj ga <obj imel	['kdo <nsubj', 'ga <obj', 'imel']	S	O	V	SOV
kdo <nsubj imel >obj denar	['kdo <nsubj', 'imel', '>obj denar']	S	V	O	SVO
kdo <nsubj je >obj to	['kdo <nsubj', 'je', '>obj to']	S	V	O	SVO
kdo <nsubj knjige <obj sposodil	['kdo <nsubj', 'knjige <obj', 'sposodil']	S	O	V	SOV
kdo <nsubj mi <obj kosi	['kdo <nsubj', 'mi <obj', 'kosi']	S	O	V	SOV
kdo <nsubj mi <obj oral	['kdo <nsubj', 'mi <obj', 'oral']	S	O	V	SOV
kdo <nsubj opeva >obj šolstvo	['kdo <nsubj', 'opeva', '>obj šolstvo']	S	V	O	SVO
kdo <nsubj pobiral >obj hrošče	['kdo <nsubj', 'pobiral', '>obj hrošče']	S	V	O	SVO
kdo <nsubj pripeljal >obj jo	['kdo <nsubj', 'pripeljal', '>obj jo']	S	V	O	SVO
kdo <nsubj spomni >obj skupine	['kdo <nsubj', 'spomni', '>obj skupine']	S	V	O	SVO
kdo <nsubj sprejemal >obj ljudi	['kdo <nsubj', 'sprejemal', '>obj ljudi']	S	V	O	SVO
kdo <nsubj te <obj peljal	['kdo <nsubj', 'te <obj', 'peljal']	S	O	V	SOV
kdo <nsubj vodi >obj to	['kdo <nsubj', 'vodi', '>obj to']	S	V	O	SVO
kdor <nsubj reklamo <obj poslal	['kdor <nsubj', 'reklamo <obj', 'poslal']	S	O	V	SOV
ker <obj jaz <nsubj naredim	['ker <obj', 'jaz <nsubj', 'naredim']	O	S	V	OSV
kmetje <nsubj nimajo >obj sredstev	['kmetje <nsubj', 'nimajo', '>obj sredstev']	S	V	O	SVO
kmetje <nsubj tega <obj nimajo	['kmetje <nsubj', 'tega <obj', 'nimajo']	S	O	V	SOV
kmetu <obj zraste >nsubj krompir	['kmetu <obj', 'zraste', '>nsubj krompir']	O	V	S	OVS
kolegica <nsubj to <obj zbrala	['kolegica <nsubj', 'to <obj', 'zbrala']	S	O	V	SOV
komisija <nsubj kaj <obj spregleda	['komisija <nsubj', 'kaj <obj', 'spregleda']	S	O	V	SOV
komisija <nsubj pravila <obj spreminjala	['komisija <nsubj', 'pravila <obj', 'spreminjala']	S	O	V	SOV
korenine <nsubj posrkajo >obj vodo	['korenine <nsubj', 'posrkajo', '>obj vodo']	S	V	O	SVO
korona <nsubj naredila >obj svoje	['korona <nsubj', 'naredila', '>obj svoje']	S	V	O	SVO
korona <nsubj nas <obj postavila	['korona <nsubj', 'nas <obj', 'postavila']	S	O	V	SOV
korona <nsubj prinesla >obj izkušnje	['korona <nsubj', 'prinesla', '>obj izkušnje']	S	V	O	SVO
kralj <nsubj boji >obj nasledstva	['kralj <nsubj', 'boji', '>obj nasledstva']	S	V	O	SVO
kriza <nsubj dala >obj poduk	['kriza <nsubj', 'dala', '>obj poduk']	S	V	O	SVO
kvintet <nsubj glasbo <obj približal	['kvintet <nsubj', 'glasbo <obj', 'približal']	S	O	V	SOV
lioni <nsubj delimo >obj poslanstvo	['lioni <nsubj', 'delimo', '>obj poslanstvo']	S	V	O	SVO
ljudje <nsubj bruhajo >obj živo	['ljudje <nsubj', 'bruhajo', '>obj živo']	S	V	O	SVO
ljudje <nsubj pijejo >obj pijačo	['ljudje <nsubj', 'pijejo', '>obj pijačo']	S	V	O	SVO
ljudje <nsubj shranjujejo >obj navade	['ljudje <nsubj', 'shranjujejo', '>obj navade']	S	V	O	SVO
ljudje <nsubj spominjajo >obj časov	['ljudje <nsubj', 'spominjajo', '>obj časov']	S	V	O	SVO
ljudje <nsubj spomnili >obj mladosti	['ljudje <nsubj', 'spomnili', '>obj mladosti']	S	V	O	SVO
ljudje <nsubj spreminjajo >obj karakter	['ljudje <nsubj', 'spreminjajo', '>obj karakter']	S	V	O	SVO
mama <nsubj Tamiflu <obj dala	['mama <nsubj', 'Tamiflu <obj', 'dala']	S	O	V	SOV
marsikdo <nsubj pozitivnost <obj prenaša	['marsikdo <nsubj', 'pozitivnost <obj', 'prenaša']	S	O	V	SOV
marsikdo <nsubj vzame >obj kredit	['marsikdo <nsubj', 'vzame', '>obj kredit']	S	V	O	SVO
marsikdo <nsubj zavida >obj Slovenijo	['marsikdo <nsubj', 'zavida', '>obj Slovenijo']	S	V	O	SVO
mati <nsubj televizijo <obj gledata	['mati <nsubj', 'televizijo <obj', 'gledata']	S	O	V	SOV
me <obj Radiotelevizija <nsubj poslala	['me <obj', 'Radiotelevizija <nsubj', 'poslala']	O	S	V	OSV
me <obj ambasada <nsubj zaščiti	['me <obj', 'ambasada <nsubj', 'zaščiti']	O	S	V	OSV
me <obj ona <nsubj odpeljala	['me <obj', 'ona <nsubj', 'odpeljala']	O	S	V	OSV
me <obj ona <nsubj spoznala	['me <obj', 'ona <nsubj', 'spoznala']	O	S	V	OSV
me <obj policija <nsubj odžene	['me <obj', 'policija <nsubj', 'odžene']	O	S	V	OSV
me <obj pot <nsubj peljala	['me <obj', 'pot <nsubj', 'peljala']	O	S	V	OSV
me <obj pot <nsubj vodila	['me <obj', 'pot <nsubj', 'vodila']	O	S	V	OSV
me <obj sedemsto <nsubj žulilo	['me <obj', 'sedemsto <nsubj', 'žulilo']	O	S	V	OSV
me <obj starši <nsubj zaznamovali	['me <obj', 'starši <nsubj', 'zaznamovali']	O	S	V	OSV
me <obj zanima >nsubj ekonomija	['me <obj', 'zanima', '>nsubj ekonomija']	O	V	S	OVS
medaljo <obj dobil >nsubj občan	['medaljo <obj', 'dobil', '>nsubj občan']	O	V	S	OVS
mene <obj bilo >nsubj sram	['mene <obj', 'bilo', '>nsubj sram']	O	V	S	OVS
mene <obj boli >nsubj oblikovanje	['mene <obj', 'boli', '>nsubj oblikovanje']	O	V	S	OVS
meni <obj je >nsubj to	['meni <obj', 'je', '>nsubj to']	O	V	S	OVS
meni <obj pletenki <nsubj sunile	['meni <obj', 'pletenki <nsubj', 'sunile']	O	S	V	OSV
meni <obj so >nsubj stili	['meni <obj', 'so', '>nsubj stili']	O	V	S	OVS
meni <obj to <nsubj prišlo	['meni <obj', 'to <nsubj', 'prišlo']	O	S	V	OSV
meni <obj zdelo >nsubj poklic	['meni <obj', 'zdelo', '>nsubj poklic']	O	V	S	OVS
mi <nsubj dali >obj ime	['mi <nsubj', 'dali', '>obj ime']	S	V	O	SVO
mi <nsubj dobili >obj sadje	['mi <nsubj', 'dobili', '>obj sadje']	S	V	O	SVO
mi <nsubj dobili >obj sporočilo	['mi <nsubj', 'dobili', '>obj sporočilo']	S	V	O	SVO
mi <nsubj imamo >obj dejavnosti	['mi <nsubj', 'imamo', '>obj dejavnosti']	S	V	O	SVO
mi <nsubj imamo >obj pravico	['mi <nsubj', 'imamo', '>obj pravico']	S	V	O	SVO
mi <nsubj imamo >obj štiri	['mi <nsubj', 'imamo', '>obj štiri']	S	V	O	SVO
mi <nsubj imeli >obj kulturo	['mi <nsubj', 'imeli', '>obj kulturo']	S	V	O	SVO
mi <nsubj imeli >obj ugotovitev	['mi <nsubj', 'imeli', '>obj ugotovitev']	S	V	O	SVO
mi <nsubj intenzivirali >obj obnavljanje	['mi <nsubj', 'intenzivirali', '>obj obnavljanje']	S	V	O	SVO
mi <nsubj jih <obj imamo	['mi <nsubj', 'jih <obj', 'imamo']	S	O	V	SOV
mi <nsubj kakšno <obj napisale	['mi <nsubj', 'kakšno <obj', 'napisale']	S	O	V	SOV
mi <nsubj nič <obj naredili	['mi <nsubj', 'nič <obj', 'naredili']	S	O	V	SOV
mi <nsubj obiskali >obj Malto	['mi <nsubj', 'obiskali', '>obj Malto']	S	V	O	SVO
mi <nsubj ogrejemo >obj mišice	['mi <nsubj', 'ogrejemo', '>obj mišice']	S	V	O	SVO
mi <nsubj podarimo >obj darila	['mi <nsubj', 'podarimo', '>obj darila']	S	V	O	SVO
mi <nsubj pogoja <obj postavili	['mi <nsubj', 'pogoja <obj', 'postavili']	S	O	V	SOV
mi <nsubj pogrešamo >obj smelost	['mi <nsubj', 'pogrešamo', '>obj smelost']	S	V	O	SVO
mi <nsubj pogrešamo >obj to	['mi <nsubj', 'pogrešamo', '>obj to']	S	V	O	SVO
mi <nsubj ponovili >obj tisto	['mi <nsubj', 'ponovili', '>obj tisto']	S	V	O	SVO
mi <nsubj predlagamo >obj imena	['mi <nsubj', 'predlagamo', '>obj imena']	S	V	O	SVO
mi <nsubj rotirali >obj število	['mi <nsubj', 'rotirali', '>obj število']	S	V	O	SVO
mi <nsubj slišali >obj Utwo	['mi <nsubj', 'slišali', '>obj Utwo']	S	V	O	SVO
mi <nsubj smo >obj procent	['mi <nsubj', 'smo', '>obj procent']	S	V	O	SVO
mi <nsubj stališče <obj podali	['mi <nsubj', 'stališče <obj', 'podali']	S	O	V	SOV
mi <nsubj ti <obj napravimo	['mi <nsubj', 'ti <obj', 'napravimo']	S	O	V	SOV
mi <nsubj to <obj objavimo	['mi <nsubj', 'to <obj', 'objavimo']	S	O	V	SOV
mi <nsubj to <obj želeli	['mi <nsubj', 'to <obj', 'želeli']	S	O	V	SOV
mi <nsubj višino <obj določamo	['mi <nsubj', 'višino <obj', 'določamo']	S	O	V	SOV
mi <nsubj čuvava >obj ovce	['mi <nsubj', 'čuvava', '>obj ovce']	S	V	O	SVO
mi <obj bil >nsubj obisk	['mi <obj', 'bil', '>nsubj obisk']	O	V	S	OVS
mi <obj bila >nsubj glasba	['mi <obj', 'bila', '>nsubj glasba']	O	V	S	OVS
mi <obj bila >nsubj knjiga	['mi <obj', 'bila', '>nsubj knjiga']	O	V	S	OVS
mi <obj bila >nsubj nadaljevanka	['mi <obj', 'bila', '>nsubj nadaljevanka']	O	V	S	OVS
mi <obj bili >nsubj ljudje	['mi <obj', 'bili', '>nsubj ljudje']	O	V	S	OVS
mi <obj bilo >nsubj mesto	['mi <obj', 'bilo', '>nsubj mesto']	O	V	S	OVS
mi <obj brodica <nsubj odpirala	['mi <obj', 'brodica <nsubj', 'odpirala']	O	S	V	OSV
mi <obj diši >nsubj novinarstvo	['mi <obj', 'diši', '>nsubj novinarstvo']	O	V	S	OVS
mi <obj je >nsubj Dalmacija	['mi <obj', 'je', '>nsubj Dalmacija']	O	V	S	OVS
mi <obj je >nsubj delo	['mi <obj', 'je', '>nsubj delo']	O	V	S	OVS
mi <obj je >nsubj glasba	['mi <obj', 'je', '>nsubj glasba']	O	V	S	OVS
mi <obj je >nsubj kmet	['mi <obj', 'je', '>nsubj kmet']	O	V	S	OVS
mi <obj je >nsubj kuhinja	['mi <obj', 'je', '>nsubj kuhinja']	O	V	S	OVS
mi <obj je >nsubj lokacija	['mi <obj', 'je', '>nsubj lokacija']	O	V	S	OVS
mi <obj je >nsubj predmeta	['mi <obj', 'je', '>nsubj predmeta']	O	V	S	OVS
mi <obj je >nsubj predolgčas	['mi <obj', 'je', '>nsubj predolgčas']	O	V	S	OVS
mi <obj komisija <nsubj spreminjala	['mi <obj', 'komisija <nsubj', 'spreminjala']	O	S	V	OSV
mi <obj ljudi <nsubj čestita	['mi <obj', 'ljudi <nsubj', 'čestita']	O	S	V	OSV
mi <obj manjka >nsubj nekaj	['mi <obj', 'manjka', '>nsubj nekaj']	O	V	S	OVS
mi <obj medijska <nsubj odpeljalo	['mi <obj', 'medijska <nsubj', 'odpeljalo']	O	S	V	OSV
mi <obj nič <nsubj da	['mi <obj', 'nič <nsubj', 'da']	O	S	V	OSV
mi <obj paše >nsubj balboa	['mi <obj', 'paše', '>nsubj balboa']	O	V	S	OVS
mi <obj prikrila >nsubj starša	['mi <obj', 'prikrila', '>nsubj starša']	O	V	S	OVS
mi <obj prišel >nsubj oni	['mi <obj', 'prišel', '>nsubj oni']	O	V	S	OVS
mi <obj svet <nsubj podrl	['mi <obj', 'svet <nsubj', 'podrl']	O	S	V	OSV
mi <obj zdi >nsubj folk	['mi <obj', 'zdi', '>nsubj folk']	O	V	S	OVS
mi <obj zdi >nsubj pot	['mi <obj', 'zdi', '>nsubj pot']	O	V	S	OVS
mi <obj študij <nsubj bil	['mi <obj', 'študij <nsubj', 'bil']	O	S	V	OSV
midva <nsubj izmeno <obj razdeliva	['midva <nsubj', 'izmeno <obj', 'razdeliva']	S	O	V	SOV
ministrstvo <nsubj problema <obj naslovilo	['ministrstvo <nsubj', 'problema <obj', 'naslovilo']	S	O	V	SOV
mladi <nsubj gledajo >obj govornika	['mladi <nsubj', 'gledajo', '>obj govornika']	S	V	O	SVO
modul <nsubj ima >obj vsebine	['modul <nsubj', 'ima', '>obj vsebine']	S	V	O	SVO
motor <nsubj ima >obj izkoristek	['motor <nsubj', 'ima', '>obj izkoristek']	S	V	O	SVO
motor <nsubj ima >obj izkoristke	['motor <nsubj', 'ima', '>obj izkoristke']	S	V	O	SVO
moški <nsubj ga <obj imajo	['moški <nsubj', 'ga <obj', 'imajo']	S	O	V	SOV
moški <nsubj imajo >obj naramnice	['moški <nsubj', 'imajo', '>obj naramnice']	S	V	O	SVO
možje <nsubj to <obj naredijo	['možje <nsubj', 'to <obj', 'naredijo']	S	O	V	SOV
mu <obj mnogi <nsubj pravijo	['mu <obj', 'mnogi <nsubj', 'pravijo']	O	S	V	OSV
mu <obj to <nsubj odšteje	['mu <obj', 'to <nsubj', 'odšteje']	O	S	V	OSV
na <obj prod <nsubj opozarja	['na <obj', 'prod <nsubj', 'opozarja']	O	S	V	OSV
nadgradil >nsubj jaz >obj kolumne	['nadgradil', '>nsubj jaz', '>obj kolumne']	V	S	O	VSO
najdejo >nsubj bolniki >obj odgovorov	['najdejo', '>nsubj bolniki', '>obj odgovorov']	V	S	O	VSO
nam <obj pomagajo >nsubj odrasli	['nam <obj', 'pomagajo', '>nsubj odrasli']	O	V	S	OVS
nam <obj ponavlja >nsubj scenarij	['nam <obj', 'ponavlja', '>nsubj scenarij']	O	V	S	OVS
nam <obj preostane >nsubj to	['nam <obj', 'preostane', '>nsubj to']	O	V	S	OVS
nam <obj prihajajo >nsubj prostovoljci	['nam <obj', 'prihajajo', '>nsubj prostovoljci']	O	V	S	OVS
nam <obj prišli >nsubj sestri	['nam <obj', 'prišli', '>nsubj sestri']	O	V	S	OVS
nam <obj strokovnjaki <nsubj stojijo	['nam <obj', 'strokovnjaki <nsubj', 'stojijo']	O	S	V	OSV
nam <obj to <nsubj igra	['nam <obj', 'to <nsubj', 'igra']	O	S	V	OSV
nama <obj bila >nsubj Sicilija	['nama <obj', 'bila', '>nsubj Sicilija']	O	V	S	OVS
nama <obj ušlo >nsubj tole	['nama <obj', 'ušlo', '>nsubj tole']	O	V	S	OVS
napadalec <nsubj imel >obj priložnost	['napadalec <nsubj', 'imel', '>obj priložnost']	S	V	O	SVO
nas <obj povezale >nsubj vezi	['nas <obj', 'povezale', '>nsubj vezi']	O	V	S	OVS
nas <obj preplavile >nsubj prijave	['nas <obj', 'preplavile', '>nsubj prijave']	O	V	S	OVS
nas <obj to <nsubj jezi	['nas <obj', 'to <nsubj', 'jezi']	O	S	V	OSV
nas <obj čaka >nsubj dela	['nas <obj', 'čaka', '>nsubj dela']	O	V	S	OVS
nas <obj čaka >nsubj korakov	['nas <obj', 'čaka', '>nsubj korakov']	O	V	S	OVS
naselja <obj občine <nsubj tolerirale	['naselja <obj', 'občine <nsubj', 'tolerirale']	O	S	V	OSV
nastopajočih <nsubj oživlja >obj predstavo	['nastopajočih <nsubj', 'oživlja', '>obj predstavo']	S	V	O	SVO
navade <nsubj otrokom <obj spremenile	['navade <nsubj', 'otrokom <obj', 'spremenile']	S	O	V	SOV
navade <nsubj otrokom <obj ustrezajo	['navade <nsubj', 'otrokom <obj', 'ustrezajo']	S	O	V	SOV
navdušila >obj me >nsubj sodelavka	['navdušila', '>obj me', '>nsubj sodelavka']	V	O	S	VOS
načrte <obj prekinil >nsubj napad	['načrte <obj', 'prekinil', '>nsubj napad']	O	V	S	OVS
načrte <obj prekrižala >nsubj korona	['načrte <obj', 'prekrižala', '>nsubj korona']	O	V	S	OVS
ne <obj pravi >nsubj poslušalka	['ne <obj', 'pravi', '>nsubj poslušalka']	O	V	S	OVS
ne <obj pravijo >nsubj Koper	['ne <obj', 'pravijo', '>nsubj Koper']	O	V	S	OVS
nekaj <obj bi >nsubj jaz	['nekaj <obj', 'bi', '>nsubj jaz']	O	V	S	OVS
nekaj <obj država <nsubj dala	['nekaj <obj', 'država <nsubj', 'dala']	O	S	V	OSV
nekatere <nsubj ga <obj uvedle	['nekatere <nsubj', 'ga <obj', 'uvedle']	S	O	V	SOV
nekateri <nsubj izbrali >obj življenje	['nekateri <nsubj', 'izbrali', '>obj življenje']	S	V	O	SVO
nekateri <nsubj mi <obj pišejo	['nekateri <nsubj', 'mi <obj', 'pišejo']	S	O	V	SOV
